SEQUEN, 100, 1, 2
SEQUEN, 500, 1, 125
SEQUEN, 1000, 1, 867
SEQUEN, 2000, 1, 6731
SEQUEN, 3000, 1, 22758
SEQUEN, 4000, 1, 53802
SEQUEN, 5000, 1, 105367
SEQUEN, 6000, 1, 182386
SEQUEN, 7000, 1, 290645
SEQUEN, 8000, 1, 430458
PTHREAD, 100, 1, 10
PTHREAD, 500, 1, 181
PTHREAD, 1000, 1, 1125
PTHREAD, 2000, 1, 8521
PTHREAD, 3000, 1, 28678
PTHREAD, 4000, 1, 67430
PTHREAD, 5000, 1, 132020
PTHREAD, 6000, 1, 225442
PTHREAD, 7000, 1, 357943
PTHREAD, 8000, 1, 536212
PTHREAD, 100, 2, 11
PTHREAD, 500, 2, 121
PTHREAD, 1000, 2, 630
PTHREAD, 2000, 2, 4512
PTHREAD, 3000, 2, 14729
PTHREAD, 4000, 2, 34809
PTHREAD, 5000, 2, 69313
PTHREAD, 6000, 2, 121395
PTHREAD, 7000, 2, 197361
PTHREAD, 8000, 2, 293257
PTHREAD, 100, 4, 15
PTHREAD, 500, 4, 96
PTHREAD, 1000, 4, 392
PTHREAD, 2000, 4, 2482
PTHREAD, 3000, 4, 7912
PTHREAD, 4000, 4, 19044
PTHREAD, 5000, 4, 39557
PTHREAD, 6000, 4, 69006
PTHREAD, 7000, 4, 139834
PTHREAD, 8000, 4, 196001
PTHREAD, 100, 8, 27
PTHREAD, 500, 8, 112
PTHREAD, 1000, 8, 397
PTHREAD, 2000, 8, 2243
PTHREAD, 3000, 8, 6976
PTHREAD, 4000, 8, 16652
PTHREAD, 5000, 8, 32863
PTHREAD, 6000, 8, 60965
PTHREAD, 7000, 8, 119937
PTHREAD, 8000, 8, 175521
PTHREAD, 100, 16, 40
PTHREAD, 500, 16, 152
PTHREAD, 1000, 16, 477
PTHREAD, 2000, 16, 2375
PTHREAD, 3000, 16, 7163
PTHREAD, 4000, 16, 16223
PTHREAD, 5000, 16, 33360
PTHREAD, 6000, 16, 58701
PTHREAD, 7000, 16, 91971
PTHREAD, 8000, 16, 132864
OPENMP, 100, 1, 2
OPENMP, 500, 1, 131
OPENMP, 1000, 1, 930
OPENMP, 2000, 1, 7257
OPENMP, 3000, 1, 24462
OPENMP, 4000, 1, 57644
OPENMP, 5000, 1, 113379
OPENMP, 6000, 1, 196983
OPENMP, 7000, 1, 314150
OPENMP, 8000, 1, 464872
OPENMP, 100, 2, 1
OPENMP, 500, 2, 84
OPENMP, 1000, 2, 509
OPENMP, 2000, 2, 3821
OPENMP, 3000, 2, 13081
OPENMP, 4000, 2, 30793
OPENMP, 5000, 2, 62367
OPENMP, 6000, 2, 112334
OPENMP, 7000, 2, 177798
OPENMP, 8000, 2, 270845
OPENMP, 100, 4, 2
OPENMP, 500, 4, 58
OPENMP, 1000, 4, 292
OPENMP, 2000, 4, 2082
OPENMP, 3000, 4, 7201
OPENMP, 4000, 4, 17428
OPENMP, 5000, 4, 37543
OPENMP, 6000, 4, 66340
OPENMP, 7000, 4, 126327
OPENMP, 8000, 4, 204739
OPENMP, 100, 8, 5
OPENMP, 500, 8, 60
OPENMP, 1000, 8, 299
OPENMP, 2000, 8, 1920
OPENMP, 3000, 8, 6166
OPENMP, 4000, 8, 15393
OPENMP, 5000, 8, 32644
OPENMP, 6000, 8, 55627
OPENMP, 7000, 8, 88686
OPENMP, 8000, 8, 129909
OPENMP, 100, 16, 4
OPENMP, 500, 16, 64
OPENMP, 1000, 16, 309
OPENMP, 2000, 16, 1874
OPENMP, 3000, 16, 6138
OPENMP, 4000, 16, 14117
OPENMP, 5000, 16, 30509
OPENMP, 6000, 16, 54790
OPENMP, 7000, 16, 85973
OPENMP, 8000, 16, 140219
SEQUEN, 15, 4, 0
SEQUEN, 15, 1, 0
SEQUEN, 15, 1, 0
SEQUEN, 15, 1, 0
SEQUEN, 15, 1, 0
SEQUEN, 15, 1, 0
SEQUEN, 15, 1, 0
PTHREAD, 15, 1, 1
PTHREAD, 15, 8, 5
PTHREAD, 15, 16, 7
PTHREAD, 1000, 4, 395
PTHREAD, 1000, 16, 469
PTHREAD, 1000, 8, 404
PTHREAD, 3000, 16, 6859
PTHREAD, 3000, 4, 7941
PTHREAD, 3000, 2, 14736
PTHREAD, 15, 1, 0
PTHREAD, 15, 16, 6
OPENMP, 10, 1, 0
OPENMP, 15, 1, 0
OPENMP, 200, 1, 15
OPENMP, 200, 1, 14
OPENMP, 200, 8, 16
OPENMP, 2000, 8, 1940
SEQUEN, 1000, 10, 831
SEQUEN, 1000, 4, 836
PTHREAD, 4000, 8, 15811
PTHREAD, 4000, 2, 35257
OPENMP, 4000, 2, 31585
OPENMP, 1000, 2, 514
PTHREAD, 1000, 2, 628
PTHREAD, 1000, 16, 484
PTHREAD, 200, 2, 15
OPENMP, 200, 2, 6
OPENMP, 200, 2, 6
